data;precipitacao_total;temperatura_media
2009-07-31;167.2;24.241935
2009-08-31;104.2;24.157258
2009-09-30;59.6;24.9525
2009-10-31;91.2;25.736925
2009-11-30;49.4;26.272083
2009-12-31;7.8;27.262366
2010-01-31;86.4;27.229741
2010-02-28;13.2;28.158036
2010-03-31;56;27.552285
2010-04-30;21.4;25.96375
2010-05-31;247;25.631586
2010-06-30;105;24.577361
2010-07-31;534.4;23.065188
2010-08-31;187.2;22.844513
2010-09-30;62.8;23.758195
2010-10-31;60.2;25.509409
2010-11-30;31;26.145417
2010-12-31;73.2;26.221371
2011-01-31;50;26.075538
2011-02-28;6;27.201488
2011-03-31;189.4;26.625291
2011-04-30;348;25.751667
2011-05-31;323;24.467033
2011-06-30;186.4;23.450278
2011-07-31;24.6;23.554839
2011-08-31;3.8;23.520833
2011-09-30;64.2;24.036256
2011-10-31;213.6;25.016398
2011-11-30;195;25.168678
2011-12-31;98.4;26.067415
2012-01-31;16;26.588575
2012-02-29;null;26.429185
2012-03-31;null;26.553302
2012-04-30;null;26.501437
2012-05-31;417.4;25.185618
2012-06-30;170.2;24.523243
2012-07-31;163.2;23.843145
2012-08-31;137.6;23.541196
2012-09-30;33.2;24.452693
2012-10-31;65;24.834596
2012-11-30;12.4;26.024167
2012-12-31;12.8;26.8875
2013-01-31;37.2;27.310753
2013-02-28;30.2;27.670982
2013-03-31;39;27.824138
2013-04-30;237.6;26.718889
2013-05-31;236.8;25.393548
2013-06-30;302.8;24.498843
2013-07-31;null;null
2013-08-31;null;23.855921
2013-09-30;116;24.467917
2013-10-31;219.4;25.149328
2013-11-30;212.8;25.494306
2013-12-31;156.2;26.098558
2014-01-31;null;26.508096
2014-02-28;143.8;26.513501
2014-03-31;null;null
2014-04-30;null;null
2014-05-31;253.6;25.299462
2014-06-30;245.8;24.504722
2014-07-31;210.2;23.890457
2014-08-31;68.8;23.752419
2014-09-30;91.6;24.186667
2014-10-31;31.4;25.206586
2014-11-30;63.6;25.652083
2014-12-31;201.2;26.038441
2015-01-31;54.2;26.810829
2015-02-28;92.8;27.111756
2015-03-31;33.2;27.529704
2015-04-30;274.2;26.775833
2015-05-31;282.2;25.2803
2015-06-30;357.6;24.528889
2015-07-31;188.8;24.112903
2015-08-31;94.8;23.807527
2015-09-30;24.2;24.897639
2015-10-31;18.6;25.984005
2015-11-30;3.4;27.063472
2015-12-31;17.4;27.43871
2016-01-31;165;27.059409
2016-02-29;41.4;27.667241
2016-03-31;null;28.189172
2016-04-30;null;null
2016-05-31;178;25.672068
2016-06-30;132;25.059305
2016-07-31;94;24.482527
2016-08-31;151.4;24.307124
2016-09-30;null;24.455833
2016-10-31;null;25.947235
2016-11-30;54.4;26.227911
2016-12-31;56;26.947984
2017-01-31;25.8;27.537366
2017-02-28;97.6;27.351786
2017-03-31;179.8;27.092082
2017-04-30;157.4;26.474167
2017-05-31;340.8;25.35578
2017-06-30;112.4;24.868225
2017-07-31;242;23.343952
2017-08-31;73.6;23.411618
2017-09-30;135.6;23.833291
2017-10-31;72;25.202285
2017-11-30;77.8;26.184545
2017-12-31;82.4;26.971505
2018-01-31;75.4;27.241538
2018-02-28;44.8;27.174405
2018-03-31;164.6;27.537143
2018-04-30;151.4;26.104861
2018-05-31;228.2;25.227285
2018-06-30;180.8;24.456609
2018-07-31;65.2;24.027957
2018-08-31;40;24.465054
2018-09-30;73.2;25.016806
2018-10-31;60;25.963038
2018-11-30;63.4;26.375972
2018-12-31;142.2;26.597715
2019-01-31;58.8;27.459005
2019-02-28;1.2;28.508333
2019-03-31;267.2;27.789113
2019-04-30;217.6;27.207639
2019-05-31;235.8;26.356855
2019-06-30;196;25.135278
2019-07-31;295.2;24.274866
2019-08-31;117.2;24.179973
2019-09-30;131;24.600575
2019-10-31;85.6;25.686021
2019-11-30;207.8;26.5225
2019-12-31;42;27.169086
2020-01-31;92.8;27.172581
2020-02-29;37.6;27.848563
2020-03-31;265.4;27.227688
2020-04-30;527;26.405139
2020-05-31;457.4;25.304839
2020-06-30;270;24.988056
2020-07-31;168.2;24.20793
2020-08-31;130;24.040591
2020-09-30;87.4;24.634722
2020-10-31;59.4;26.14664
2020-11-30;141.4;25.910139
2020-12-31;28.4;26.777016
2021-01-31;189.2;26.683602
2021-02-28;52;27.124405
2021-03-31;62.8;27.018817
2021-04-30;286.6;26.08375
2021-05-31;119;25.184274
2021-06-30;146;24.450833
2021-07-31;255.8;23.555108
2021-08-31;178.6;23.54207
2021-09-30;37.4;25.024444
2021-10-31;144.4;26.186425
2021-11-30;304;26.081111
2021-12-31;371.6;26.3
2022-01-31;34.8;27.046909
2022-02-28;106.4;27.369345
2022-03-31;330;26.598118
2022-04-30;396.6;26.326667
2022-05-31;190.4;25.44664

